,matrix,dimensions,type,iter,times_mean,times_var,rel_error,system,memory
0,G3_circuit.mtx,1585478x1585478,def_pos,30,17.35322,2.555859,3.2364e-12,Ubuntu,111560.0
1,apache2.mtx,715176x715176,def_pos,30,15.46522,1.088567,4.4262e-11,Ubuntu,88484.0
2,cfd1.mtx,70656x70656,def_pos,30,2.420054,0.1566614,1.402e-13,Ubuntu,27044.0
3,cfd2.mtx,123440x123440,def_pos,30,6.068183,0.403202,3.207300e-13,Ubuntu,3308.0
4,ex15.mtx,6867x6867,def_pos,30,0.0203442,2.2802779999999997e-05,6.470100000000001e-07,Ubuntu,0.0
5,parabolic_fem.mtx,525825x525825,def_pos,30,3.266709,0.2916185,1.0686e-12,Ubuntu,80588.0
6,shallow_water1.mtx,81920x81920,def_pos,30,0.35461679999999995,0.001523574,2.3809e-16,Ubuntu,0.0
7,PR02R.mtx,161070x161070,non_def_pos,30,24.86235,3.183128,5.8959e-09,Ubuntu,68644.0
8,ex19.mtx,12005x12005,non_def_pos,30,0.10574189999999999,6.259012e-05,1.236e-08,Ubuntu,344.0
9,graham1.mtx,9035x9035,non_def_pos,30,0.33326690000000003,0.001163932,5.133299999999999e-11,Ubuntu,15188.0
10,raefsky3.mtx,21200x21200,non_def_pos,30,0.8147629,0.01045265,1.4015e-14,Ubuntu,66276.0
11,torso1.mtx,116158x116158,non_def_pos,30,24.731189999999998,1.681731,5.753e-07,Ubuntu,1700.0
12,water_tank.mtx,60740x60740,non_def_pos,30,47.22797,3.786235,1.9933e-12,Ubuntu,90020.0
